identity,labels,catalog_id,catalog_source,description,input_format,omics,output_format,tool_id,tool_kind,tool_name,input_variants_json,input_aliases_json,exactly_one_variant
tool_id:bcftools,Tool|tool_id,T009,sister-tool-csv,VCF 过滤，标准化,,WES,,bcftools,atomic,BCFtools,,,
tool_id:bwa,Tool|tool_id,T006,sister-tool-csv,DNA reads 比对参考基因组,,WES,,bwa,atomic,BWA,,,
tool_id:diff_expr_go,Tool|tool_id,T029,sister-tool-csv,"基于表达矩阵进行差异基因分析（limma）并针对上下调基因分别进行 GO 功能富集（clusterProfiler）。
适用于 FPKM/TPM 定量数据的两组比较场景，输出差异基因列表及 GO 富集结果表。",tsv,RNA-seq,tsv,diff_expr_go,pipeline,diff_expr_go,,,
tool_id:diff_expr_kegg,Tool|tool_id,T030,sister-tool-csv,"基于 limma 包进行两组样本差异表达分析，并使用 ReactomePA 对上下调基因进行通路富集。
适用于人类基因表达矩阵（FPKM/TPM），输出差异基因列表及富集结果。",tsv,RNA-seq,tsv,diff_expr_kegg,pipeline,diff_expr_kegg,,,
tool_id:driver_gene_gender_analysis,Tool|tool_id,T031,sister-tool-csv,"该流程基于 WES MAF 文件、临床表和 MetaInfo 表，对驱动基因的突变频率进行性别分层分析。
通过卡方检验比较男性和女性样本中每个驱动基因的突变率，并输出统计结果表、诊断表及多种可视化图表（分组柱状图、瀑布图、热图、火山图）。","maf, xls, xlsx",WES,"gz, pdf, png, tsv",driver_gene_gender_analysis,pipeline,driver_gene_gender,,,
tool_id:fastp,Tool|tool_id,T001,sister-tool-csv,FASTQ 质控，修剪，UMI 提取等,,WES,,fastp,atomic,fastp,"{""single_end"":[""raw_fastq_read_r1""],""paired_end"":[""raw_fastq_read_r1"",""raw_fastq_read_r2""]}","{""raw_fastq_read"":""raw_fastq_read_r1""}",true
tool_id:fastqc,Tool|tool_id,T002,sister-tool-csv,测序数据质量评估,,"WES, RNA-seq",,fastqc,atomic,FastQC,,,
tool_id:featurecounts,Tool|tool_id,T012,sister-tool-csv,基因水平计数,,RNA-seq,,featurecounts,atomic,featureCounts,,,
tool_id:gatk,Tool|tool_id,T008,sister-tool-csv,BQSR，变异检测，质控,,WES,,gatk,atomic,GATK,"{""single"":[""sorted_dedup_bam""],""paired"":[""tumor_bam"",""tumor_bai"",""normal_bam"",""normal_bai""]}",{},true
tool_id:her2_pfs_survival,Tool|tool_id,T032,sister-tool-csv,"基于 TPM 表达矩阵、临床信息及样本元信息，分析特定基因（默认 HER2）表达水平与无进展生存期（PFS）的关联。
流程自动匹配样本 accession，执行 Winsorizing 处理，生成 KM 生存曲线、Logrank 统计量及质量控制报告。","tsv, xls, xlsx",RNA-seq,"json, pdf, png, tsv, txt",her2_pfs_survival,pipeline,her2_pfs_survival,,,
tool_id:immune_infiltration_iobr,Tool|tool_id,T033,sister-tool-csv,"基于 IOBR 包的 CIBERSORT 算法进行免疫细胞浸润分析流程。
输入基因表达 TPM 矩阵、临床信息和样本元数据，输出免疫细胞比例估计、可靠性评估及可视化图表。
适用于批量 RNA-seq 数据的肿瘤微环境免疫细胞组成分析。","tsv, xls, xlsx",RNA-seq,"json, pdf, png, tsv, txt",immune_infiltration_iobr,pipeline,immune_infiltration,,,
tool_id:multiqc,Tool|tool_id,T013,sister-tool-csv,汇总全流程质控报告,,"WES, RNA-seq",,multiqc,atomic,MultiQC,,,
tool_id:paired_fastq_to_unmapped_bam,Tool|tool_id,T034,sister-tool-csv,"将双端 FASTQ 测序数据转换为未比对的 BAM 文件 (uBAM)，并添加完整的 Read Group 信息。
适用于 GATK 最佳实践流程的起始步骤，输出可用于后续变异检测流程的标准化 BAM 文件。",fq.gz,WES,"list, bam",paired_fastq_to_unmapped_bam,pipeline,fq_to_ubam,,,
tool_id:rnaseq_singletask,Tool|tool_id,T059,sister-task-pipeline,从双端 RNA-seq FASTQ 完成质控、剪切、rRNA 去除、STAR 比对、RSEM、featureCounts 和 MultiQC。,,RNA-seq,,rnaseq_singletask,task_pipeline,RNA-seq 单任务完整上游流程,,,
tool_id:rnaseq_unsupervised_cluster,Tool|tool_id,T035,sister-tool-csv,"本流程针对 RNA-seq count 矩阵进行无监督聚类分析，涵盖数据预处理、高变基因筛选、PCA 降维及高斯混合模型聚类。
同时通过 Bootstrap 重采样评估聚类稳定性并计算显著性 P 值，适用于无样本元数据场景的探索性分析。",tsv,RNA-seq,"pdf, png, tsv, txt",rnaseq_unsupervised_cluster,pipeline,rnaseq_cluster,,,
tool_id:rsem,Tool|tool_id,T011,sister-tool-csv,基因及转录本定量,,RNA-seq,,rsem,atomic,RSEM,,,
tool_id:samtools,Tool|tool_id,T007,sister-tool-csv,BAM 排序，索引，去重,,"WES, RNA-seq",,samtools,atomic,SAMtools,,,
tool_id:snpeff,Tool|tool_id,T010,sister-tool-csv,变异功能注释,,WES,,snpeff,atomic,SnpEff,,,
tool_id:star,Tool|tool_id,T005,sister-tool-csv,RNA 比对，去 rRNA，融合检测,,RNA-seq,,star,atomic,STAR,,,
tool_id:survival_analysis,Tool|tool_id,T036,sister-tool-csv,"基于 WDL 1.0 和 Cromwell 的生存分析流程，用于评估指定基因突变状态与无进展生存期（PFS）的关系。
流程整合了突变提取、Log-rank 检验、Kaplan-Meier 曲线绘制及单因素 Cox 回归分析，最终生成汇总报告。","maf, xlsx",WES,"pdf, png, txt",survival_analysis,pipeline,survival_analysis,,,
tool_id:tmb_survival_analysis,Tool|tool_id,T037,sister-tool-csv,"从MAF文件和临床数据计算病人级肿瘤突变负荷（TMB），按TMB中位数将病人分为高/低组，
进行Kaplan-Meier生存分析和log-rank检验，输出生存曲线、TMB分布图及统计结果表。
适用于肿瘤队列的预后分析场景。","maf, xlsx",WES,"json, pdf, png, tsv",tmb_survival_analysis,pipeline,tmb_survival,,,
tool_id:trim_galore,Tool|tool_id,T004,sister-tool-csv,接头修剪，低质量修剪,,RNA-seq,,trim_galore,atomic,Trim Galore,,,
tool_id:wes_somatic_maf_landscape,Tool|tool_id,T038,sister-tool-csv,本流程用于全外显子测序（WES）队列的体细胞突变景观分析。输入标准 MAF 文件，经过滤处理后绘制 Top N 突变基因 Oncoplot 及突变类型分布图。适用于癌症基因组学中的突变谱可视化与总结。,maf,WES,"maf, pdf, png, tsv",wes_somatic_maf_landscape,pipeline,wes_maf_landscape,,,
tool_id:wgcna,Tool|tool_id,T039,sister-tool-csv,"基于基因表达矩阵和临床表型数据执行 WGCNA 共表达网络分析，包括样本 QC、模块识别、模块 - 性状关联、hub 基因筛选及 bootstrap 稳定性评估。
适用于转录组数据的系统性分析，输出模块划分结果、关键 hub 基因列表及功能富集分析结果。","tsv, xls, xlsx",RNA-seq,"gz, pdf, png, tsv",wgcna,pipeline,wgcna,,,
tool_id:cellranger_workflow,Tool|tool_id,T003,senior-0811-tool-csv,基于 10x Genomics CellRanger 的单细胞 RNA 测序数据分析流程。 包含 FASTQ 质控、序列比对、基因表达定量及结果可视化，适用于 10x Chromium 平台产生的单细胞转录组数据。,"bam, fq.gz","sc-RNA, bulk_RNA","bam, csv, html, json, tsv, txt",cellranger_workflow,pipeline,cellranger_workflow,,,
tool_id:bootstrap_stability,Tool|tool_id,T040,senior-0811-tool-csv,对聚类分析执行Bootstrap重采样，通过比较不同运行间的ARI/NMI评估聚类稳定性， 统计最佳K的频率，并利用标签置换零分布评估稳定性显著性。 输入为logCPM表达矩阵，输出包含稳定性指标、最佳K频率、置换检验P值及可视化图表。,,bulk_RNA,"csv, pdf, png, tsv, txt",bootstrap_stability,pipeline,bootstrap_stability,,,
tool_id:breast_cellchat,Tool|tool_id,T041,senior-0811-tool-csv,基于CellChat方法分析乳腺癌单细胞转录组数据中的细胞间通讯网络。输入为Seurat格式的RDS文件，通过比较肿瘤与正常组织中的配体-受体互作，揭示肿瘤微环境中的细胞通讯变化。输出包括通讯网络分析结果、质控报告和运行日志。,"fasta, rds","sc-RNA, bulk_RNA","html, json, pdf, png, txt",breast_cellchat,pipeline,breast_cellchat,,,
tool_id:celltype_case_control_de,Tool|tool_id,T042,senior-0811-tool-csv,对单细胞RNA-seq数据中指定的细胞类型进行病例-对照差异表达分析。输入为Seurat RDS文件，输出包括差异表达结果、分析摘要、质控报告等。适用于配对或非配对的病例-对照研究设计。,"csv, fasta, rds, tsv, txt","sc-RNA, bulk_RNA","html, json, txt",celltype_case_control_de,pipeline,celltype_case_control_de,,,
